SA2_MAIN16,localities,no_vehicle,hospital,police_station,fire_station,ambulance_station,ses_facility
109031185,"Barooga, Berrigan (L), Cobram, Finley, Jerilderie (L), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.), Tocumwal",4.8,4,5,12,3,2
110011188,No localities found,3.8,0,1,8,0,1
110021191,"Gilgai (L), Inverell, Remainder of State/Territory (NSW)",8.4,1,1,2,1,1
109021177,"Hay, Remainder of State/Territory (NSW)",6.9,1,1,8,1,1
108041165,"Beechwood (L), North Shore (L), Remainder of State/Territory (NSW), Riverside (L), Telegraph Point (L), Wauchope",1.5,0,2,11,0,0
110021193,"Bingara, Delungra (L), Remainder of State/Territory (NSW), Warialda",5.7,2,4,18,2,2
110021190,"Deepwater (L), Emmaville (L), Glen Innes, Remainder of State/Territory (NSW)",9.1,2,3,15,1,2
109031183,"Barham - Koondrook (Barham Part), Barham - Koondrook (Koondrook Part), Echuca - Moama (Moama Part), Mathoura (L), Moulamein (L), Nyah (L), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.), Swan Hill",3.5,1,3,31,1,2
110041202,"Calala, Kingswood (L), Remainder of State/Territory (NSW), Tamworth",9.8,0,0,2,1,0
110031195,"Moree, Remainder of State/Territory (NSW)",11.6,1,1,2,1,2
110031197,"Narrabri, Remainder of State/Territory (NSW)",9.1,1,1,4,1,1
110041199,"Gunnedah, Remainder of State/Territory (NSW)",7.7,1,1,2,1,2
110031198,"Narrabri, Remainder of State/Territory (NSW), Wee Waa",5.8,1,4,13,1,2
110021192,"Ashford (L), Bundarra (L), Gilgai (L), Remainder of State/Territory (NSW), Remainder of State/Territory (Qld), Tingha (L), Toomelah (L)",3.3,1,4,15,1,3
108051170,"Coopernook (L), Harrington, Lansdowne (L), Nabiac (L), Rainbow Flat (L), Remainder of State/Territory (NSW), Taree, Wingham",2.1,0,1,17,0,1
110041200,"Boggabri (L), Curlewis (L), Gunnedah, Remainder of State/Territory (NSW)",2.3,1,3,10,1,2
110041203,"Nemingha (L), Remainder of State/Territory (NSW), Tamworth",7.1,1,1,1,1,0
110041201,"Quirindi, Remainder of State/Territory (NSW), Wallabadah (L), Werris Creek",6.5,2,3,14,1,1
110041204,No localities found,12.4,0,0,1,0,1
111011207,Newcastle,8.7,0,0,0,0,0
111011206,Newcastle,7.6,1,1,1,1,0
111011208,Newcastle,7.5,0,1,1,0,0
110011189,No localities found,3.6,1,3,11,1,1
111011210,Newcastle,11.8,0,0,1,0,0
111011211,Newcastle,2.9,0,0,0,0,0
111011209,"Newcastle, Remainder of State/Territory (NSW)",7,0,0,1,1,0
106041129,"Aberdeen, Merriwa (L), Murrurundi (L), Remainder of State/Territory (NSW)",3.1,2,4,24,2,3
111011213,Newcastle,1.2,0,0,0,0,0
111011212,"Murrays Beach (L), Newcastle, Nords Wharf (L), Remainder of State/Territory (NSW)",7.2,0,1,3,0,1
110011187,"Guyra, Remainder of State/Territory (NSW)",3.8,1,1,18,1,1
111011214,"Newcastle, Remainder of State/Territory (NSW)",5.8,0,0,0,1,1
